exp,graph_family,n,p,seed,algo,layers,width,bipartite_n,m,repeats,runtime_ns_median,runtime_ns_mean,runtime_ns_std,flow_value,cut_capacity,matching_size,edge_scans,bfs_edge_scans,dfs_edge_scans,bfs_count,augment_count,phase_count,dfs_calls,runtime_sec_median,runtime_sec_mean,runtime_sec_std
standard,bipartite,302,0.05,0,dinic,,,150.0,1496,15,2593500.0,2640258.3333333335,162127.97371594486,150.0,150.0,150.0,24702,15110,9592,6,0,6,2144,0.0025935,0.0026402583333333335,0.00016212797371594484
standard,bipartite,302,0.05,0,edmonds_karp,,,150.0,1496,15,11666167.0,11717777.733333332,331347.4988041725,150.0,150.0,150.0,161490,161490,0,151,150,0,0,0.011666167,0.011717777733333332,0.0003313474988041725
standard,bipartite,302,0.05,1,dinic,,,150.0,1453,15,2093250.0,2143050.066666667,162458.51653332775,150.0,150.0,150.0,19876,11774,8102,5,0,5,1916,0.00209325,0.002143050066666667,0.00016245851653332776
standard,bipartite,302,0.05,1,edmonds_karp,,,150.0,1453,15,10753208.0,10704955.666666666,330375.4785376065,150.0,150.0,150.0,145130,145130,0,151,150,0,0,0.010753208,0.010704955666666667,0.0003303754785376065
standard,bipartite,302,0.05,2,dinic,,,150.0,1452,15,1873416.0,1950927.6666666667,192454.55144663065,150.0,150.0,150.0,18510,11766,6744,5,0,5,1703,0.001873416,0.0019509276666666668,0.00019245455144663065
standard,bipartite,302,0.05,2,edmonds_karp,,,150.0,1452,15,11577500.0,11550833.4,355117.62231503776,150.0,150.0,150.0,159515,159515,0,151,150,0,0,0.0115775,0.0115508334,0.0003551176223150378
standard,bipartite,302,0.05,3,dinic,,,150.0,1433,15,1497792.0,1566250.0,172578.97894131998,150.0,150.0,150.0,14146,8748,5398,4,0,4,1539,0.001497792,0.00156625,0.00017257897894132
standard,bipartite,302,0.05,3,edmonds_karp,,,150.0,1433,15,11010167.0,10937358.2,265357.71111576917,150.0,150.0,150.0,148319,148319,0,151,150,0,0,0.011010167,0.010937358199999999,0.00026535771111576916
standard,bipartite,302,0.05,4,dinic,,,150.0,1417,15,1820916.0,1866469.5333333334,114554.302922779,150.0,150.0,150.0,17696,11486,6210,5,0,5,1651,0.001820916,0.0018664695333333334,0.000114554302922779
standard,bipartite,302,0.05,4,edmonds_karp,,,150.0,1417,15,10782708.0,10745244.333333334,210466.44666097054,150.0,150.0,150.0,146331,146331,0,151,150,0,0,0.010782708,0.010745244333333334,0.00021046644666097055
standard,bipartite,302,0.05,5,dinic,,,150.0,1452,15,1945750.0,2009372.2,160268.12443848143,150.0,150.0,150.0,18817,11766,7051,5,0,5,1764,0.00194575,0.0020093722,0.00016026812443848144
standard,bipartite,302,0.05,5,edmonds_karp,,,150.0,1452,15,10822833.0,10801247.133333333,251590.98116156316,150.0,150.0,150.0,145165,145165,0,151,150,0,0,0.010822833,0.010801247133333332,0.0002515909811615632
standard,bipartite,302,0.05,6,dinic,,,150.0,1445,15,1738458.0,1838061.2666666666,212363.61048866386,150.0,150.0,150.0,17497,11710,5787,5,0,5,1490,0.001738458,0.0018380612666666666,0.00021236361048866385
standard,bipartite,302,0.05,6,edmonds_karp,,,150.0,1445,15,10555625.0,10459894.333333334,281618.73423418886,150.0,150.0,150.0,141140,141140,0,151,150,0,0,0.010555625,0.010459894333333334,0.0002816187342341889
standard,bipartite,302,0.05,7,dinic,,,150.0,1420,15,1951958.0,2162333.4,462375.2518613303,150.0,150.0,150.0,18557,11510,7047,5,0,5,1753,0.001951958,0.0021623334,0.0004623752518613303
standard,bipartite,302,0.05,7,edmonds_karp,,,150.0,1420,15,11496917.0,16260986.0,11115359.260496454,150.0,150.0,150.0,146195,146195,0,151,150,0,0,0.011496917,0.016260986,0.011115359260496454
standard,bipartite,302,0.05,8,dinic,,,150.0,1447,15,2015709.0,2087175.0,191354.46245048553,150.0,150.0,150.0,18957,11726,7231,5,0,5,1797,0.002015709,0.002087175,0.00019135446245048554
standard,bipartite,302,0.05,8,edmonds_karp,,,150.0,1447,15,11439833.0,11528574.866666667,562592.5507016433,150.0,150.0,150.0,151969,151969,0,151,150,0,0,0.011439833,0.011528574866666667,0.0005625925507016434
standard,bipartite,302,0.05,9,dinic,,,150.0,1451,15,1489208.0,1490174.9333333333,30529.266425763304,150.0,150.0,150.0,14098,8856,5242,4,0,4,1508,0.001489208,0.0014901749333333333,3.0529266425763306e-05
