exp,graph_family,algo,n,p,layers,width,bipartite_n,num_seeds,repeats,m_mean,m_std,runtime_sec_median,flow_value_mean,matching_size_mean,edge_scans_mean,bfs_edge_scans_mean,dfs_edge_scans_mean,bfs_count_mean,augment_count_mean,phase_count_mean,dfs_calls_mean,runtime_sec_median_ci95_low,runtime_sec_median_ci95_high
standard,bipartite,dinic,302,0.05,,,150.0,10,15,1446.6,21.93525827419308,0.0019095829999999999,150.0,150.0,18285.6,11445.2,6840.4,4.9,0.0,4.9,1726.5,0.001720866825,0.002022604
standard,bipartite,dinic,302,0.08,,,150.0,10,15,2108.0,27.788886667555143,0.0020167500000000003,150.0,150.0,19620.7,12373.0,7247.7,3.9,0.0,3.9,1815.4,0.001721917,0.002186167
standard,bipartite,dinic,402,0.05,,,200.0,10,15,2424.4,39.997777716045974,0.0026539375,199.9,199.9,26495.1,16154.3,10340.8,4.2,0.0,4.2,2488.2,0.002363333,0.0031193749999999998
standard,bipartite,dinic,402,0.08,,,200.0,10,15,3610.3,40.46411304408438,0.0026179165,200.0,200.0,28355.8,17537.8,10818.0,3.4,0.0,3.4,2685.0,0.002453625,0.0033475
standard,bipartite,dinic,502,0.05,,,250.0,10,15,3635.9,41.7251589438421,0.0037384995,250.0,250.0,35568.1,22065.4,13502.7,4.0,0.0,4.0,3212.3,0.003456834,0.0038078996624999993
standard,bipartite,dinic,502,0.08,,,250.0,10,15,5489.2,34.51183371927191,0.004048584,250.0,250.0,42264.2,26599.4,15664.8,3.4,0.0,3.4,3834.6,0.003677521,0.004583662662499987
standard,bipartite,edmonds_karp,302,0.05,,,150.0,10,15,1446.6,21.93525827419308,0.011191541499999999,150.0,150.0,149626.6,149626.6,0.0,151.0,150.0,0.0,0.0,0.010782708,0.0115086665
standard,bipartite,edmonds_karp,302,0.08,,,150.0,10,15,2108.0,27.788886667555143,0.013943125,150.0,150.0,203181.4,203181.4,0.0,151.0,150.0,0.0,0.0,0.0137565,0.014067541999999999
standard,bipartite,edmonds_karp,402,0.05,,,200.0,10,15,2424.4,39.997777716045974,0.022019146,199.9,199.9,313300.0,313300.0,0.0,200.9,199.9,0.0,0.0,0.0217282915,0.022419646
standard,bipartite,edmonds_karp,402,0.08,,,200.0,10,15,3610.3,40.46411304408438,0.028905708500000002,200.0,200.0,437594.0,437594.0,0.0,201.0,200.0,0.0,0.0,0.0285710625,0.029428438
